asset_url,ext,bytes,content_type,used_on_pages
https://storage.googleapis.com/production-os-assets/assets/784e0738-3b9d-4a82-abe0-a81992685d65,(png),7853,image/png,/
https://storage.googleapis.com/production-os-assets/assets/85f8f500-2784-4e5c-badb-1dbf5181379d,(png),49591,image/png,/company | /company/company | /company/member | /company/our_thoughts | /contact | /event | /news | /news/P6dUZAdF | /news/WCpgpgS6 | /news/award-grandprix | /news/category/activity-report | /news/category/all | /news/category/news | /news/category/other | /news/crowdfunding-success | /news/e4GJu5Ru | /news/enmaru-test-release | /news/first-release | /news/media-nagasaki-np | /news/p8LHv6pB | /privacy_policy | /site_policy
https://storage.googleapis.com/production-os-assets/assets/937ad02d-5941-41d6-9862-46312127ebb9,(png),7853,image/png,/company | /company/company | /company/member | /company/our_thoughts | /contact | /event | /news | /news/P6dUZAdF | /news/WCpgpgS6 | /news/award-grandprix | /news/category/activity-report | /news/category/all | /news/category/news | /news/category/other | /news/crowdfunding-success | /news/e4GJu5Ru | /news/enmaru-test-release | /news/first-release | /news/media-nagasaki-np | /news/p8LHv6pB | /privacy_policy | /site_policy
https://storage.googleapis.com/production-os-assets/assets/b8a12a78-64c9-4bbb-9676-d19e2d898084,(png),49591,image/png,/
https://storage.googleapis.com/production-os-assets/assets/fontawesome/1629704621943/6.4.2/webfonts/fa-brands-400.ttf,ttf,189684,font/ttf,/ | /company | /company/company | /company/member | /company/our_thoughts | /contact | /event | /news | /news/P6dUZAdF | /news/WCpgpgS6 | /news/award-grandprix | /news/category/activity-report | /news/category/all | /news/category/news | /news/category/other | /news/crowdfunding-success | /news/e4GJu5Ru | /news/enmaru-test-release | /news/first-release | /news/media-nagasaki-np | /news/p8LHv6pB | /privacy_policy | /site_policy
https://storage.googleapis.com/production-os-assets/assets/fontawesome/1629704621943/6.4.2/webfonts/fa-brands-400.woff2,woff2,109808,application/octet-stream,/ | /company | /company/company | /company/member | /company/our_thoughts | /contact | /event | /news | /news/P6dUZAdF | /news/WCpgpgS6 | /news/award-grandprix | /news/category/activity-report | /news/category/all | /news/category/news | /news/category/other | /news/crowdfunding-success | /news/e4GJu5Ru | /news/enmaru-test-release | /news/first-release | /news/media-nagasaki-np | /news/p8LHv6pB | /privacy_policy | /site_policy
https://storage.googleapis.com/production-os-assets/assets/fontawesome/1629704621943/6.4.2/webfonts/fa-solid-900.ttf,ttf,394668,font/ttf,/ | /company | /company/company | /company/member | /company/our_thoughts | /contact | /event | /news | /news/P6dUZAdF | /news/WCpgpgS6 | /news/award-grandprix | /news/category/activity-report | /news/category/all | /news/category/news | /news/category/other | /news/crowdfunding-success | /news/e4GJu5Ru | /news/enmaru-test-release | /news/first-release | /news/media-nagasaki-np | /news/p8LHv6pB | /privacy_policy | /site_policy
https://storage.googleapis.com/production-os-assets/assets/fontawesome/1629704621943/6.4.2/webfonts/fa-solid-900.woff2,woff2,150020,application/octet-stream,/ | /company | /company/company | /company/member | /company/our_thoughts | /contact | /event | /news | /news/P6dUZAdF | /news/WCpgpgS6 | /news/award-grandprix | /news/category/activity-report | /news/category/all | /news/category/news | /news/category/other | /news/crowdfunding-success | /news/e4GJu5Ru | /news/enmaru-test-release | /news/first-release | /news/media-nagasaki-np | /news/p8LHv6pB | /privacy_policy | /site_policy
https://storage.googleapis.com/studio-cms-assets/projects/bXqzew1ZOD/s-1920x1280_v-frms_webp_4f7c1015-8072-4ce3-a5ea-3d55d6c9f330_middle.webp,webp,72252,image/webp,/news/e4GJu5Ru
https://storage.googleapis.com/studio-cms-assets/projects/bXqzew1ZOD/s-1920x1280_v-frms_webp_4f7c1015-8072-4ce3-a5ea-3d55d6c9f330_small.webp,webp,32006,image/webp,/news/e4GJu5Ru (sp)
https://storage.googleapis.com/studio-cms-assets/projects/bXqzew1ZOD/s-1920x1280_v-frms_webp_73d341f9-1bdc-4204-837c-2058aeded02a_middle.webp,webp,92838,image/webp,/news/first-release
https://storage.googleapis.com/studio-cms-assets/projects/bXqzew1ZOD/s-1920x1280_v-frms_webp_73d341f9-1bdc-4204-837c-2058aeded02a_small.webp,webp,30176,image/webp,/news/category/activity-report | /news/first-release (sp)
https://storage.googleapis.com/studio-cms-assets/projects/bXqzew1ZOD/s-1920x1281_v-frms_webp_fa1efb39-c9c7-4bc7-bbd6-db62ffddd5e0_middle.webp,webp,65970,image/webp,/news/P6dUZAdF
https://storage.googleapis.com/studio-cms-assets/projects/bXqzew1ZOD/s-1920x1281_v-frms_webp_fa1efb39-c9c7-4bc7-bbd6-db62ffddd5e0_small.webp,webp,26844,image/webp,/news/P6dUZAdF (sp) | /news/category/activity-report
https://storage.googleapis.com/studio-design-asset-files/projects/NxqgdRVEa1/s-28x25_webp_baa795dc-01be-459e-92dd-b60493432a58.webp,webp,277,image/webp,/ | / (sp)
https://storage.googleapis.com/studio-design-asset-files/projects/bXqzew1ZOD/s-1108x1477_v-fms_webp_612b91cb-4779-4b0a-9416-2d3e6585a44a.jpg,jpg,259403,image/jpeg,/news/award-grandprix | /news/award-grandprix (sp)
https://storage.googleapis.com/studio-design-asset-files/projects/bXqzew1ZOD/s-1108x1477_v-fms_webp_612b91cb-4779-4b0a-9416-2d3e6585a44a_middle.webp,webp,56264,image/webp,/news/award-grandprix
https://storage.googleapis.com/studio-design-asset-files/projects/bXqzew1ZOD/s-1108x1477_v-fms_webp_612b91cb-4779-4b0a-9416-2d3e6585a44a_small.webp,webp,21452,image/webp,/news/award-grandprix (sp)
https://storage.googleapis.com/studio-design-asset-files/projects/bXqzew1ZOD/s-1108x1477_v-fms_webp_c77b5204-460d-4a01-9422-7a16d15bd2cb.jpg,jpg,273633,image/jpeg,/news/award-grandprix | /news/award-grandprix (sp)
https://storage.googleapis.com/studio-design-asset-files/projects/bXqzew1ZOD/s-1108x1477_v-fms_webp_c77b5204-460d-4a01-9422-7a16d15bd2cb_middle.webp,webp,54262,image/webp,/news/award-grandprix
